
Minimum time:  301	(0.109767 ms)

Test #		Time
2554:		364	(0.132741 ms)
2555:		370	(0.134929 ms)
2556:		319	(0.116331 ms)
2557:		320	(0.116695 ms)
2558:		434	(0.158268 ms)
2559:		377	(0.137482 ms)
2560:		311	(0.113413 ms)
2561:		313	(0.114143 ms)
2562:		323	(0.117789 ms)
2563:		317	(0.115601 ms)
2564:		321	(0.11706 ms)
2565:		313	(0.114143 ms)
2566:		319	(0.116331 ms)
2567:		314	(0.114507 ms)
2568:		321	(0.11706 ms)
2569:		307	(0.111955 ms)
2570:		306	(0.11159 ms)
2571:		322	(0.117425 ms)
2572:		316	(0.115237 ms)
2573:		316	(0.115237 ms)
2574:		320	(0.116695 ms)
2575:		321	(0.11706 ms)
2576:		311	(0.113413 ms)
2577:		321	(0.11706 ms)
2578:		307	(0.111955 ms)
2579:		317	(0.115601 ms)
2580:		311	(0.113413 ms)
2581:		314	(0.114507 ms)
2582:		314	(0.114507 ms)
2583:		317	(0.115601 ms)
2584:		308	(0.112319 ms)
2585:		308	(0.112319 ms)
2586:		305	(0.111225 ms)
2587:		309	(0.112684 ms)
2588:		428	(0.15608 ms)
2589:		308	(0.112319 ms)
2590:		319	(0.116331 ms)
2591:		320	(0.116695 ms)
2592:		319	(0.116331 ms)
2593:		305	(0.111225 ms)
2594:		321	(0.11706 ms)
2595:		317	(0.115601 ms)
2596:		315	(0.114872 ms)
2597:		433	(0.157903 ms)
2598:		317	(0.115601 ms)
2599:		305	(0.111225 ms)
2600:		306	(0.11159 ms)
2601:		322	(0.117425 ms)
2602:		308	(0.112319 ms)
2603:		318	(0.115966 ms)
2604:		312	(0.113778 ms)
2605:		434	(0.158268 ms)
2606:		368	(0.1342 ms)
2607:		309	(0.112684 ms)
2608:		319	(0.116331 ms)
2609:		321	(0.11706 ms)
2610:		310	(0.113049 ms)
2611:		314	(0.114507 ms)
2612:		319	(0.116331 ms)
2613:		310	(0.113049 ms)
2614:		314	(0.114507 ms)
2615:		318	(0.115966 ms)
2616:		319	(0.116331 ms)
2617:		322	(0.117425 ms)
2618:		316	(0.115237 ms)
2619:		315	(0.114872 ms)
2620:		310	(0.113049 ms)
2621:		311	(0.113413 ms)
2622:		306	(0.11159 ms)
2623:		314	(0.114507 ms)
2624:		317	(0.115601 ms)
2625:		308	(0.112319 ms)
2626:		306	(0.11159 ms)
2627:		318	(0.115966 ms)
2628:		313	(0.114143 ms)
2629:		474	(0.172855 ms)
2630:		525	(0.191453 ms)
2631:		354	(0.129094 ms)
2632:		346	(0.126177 ms)
2633:		325	(0.118519 ms)
2634:		427	(0.155715 ms)
2635:		319	(0.116331 ms)
2636:		323	(0.117789 ms)
2637:		322	(0.117425 ms)
2638:		442	(0.161185 ms)
2639:		320	(0.116695 ms)
2640:		314	(0.114507 ms)
2641:		319	(0.116331 ms)
2642:		428	(0.15608 ms)
2643:		323	(0.117789 ms)
2644:		316	(0.115237 ms)
2645:		317	(0.115601 ms)
2646:		1439	(0.524764 ms)
2647:		3606	(1.31501 ms)
2648:		934	(0.340604 ms)
2649:		586	(0.213698 ms)
2650:		548	(0.199841 ms)
2651:		498	(0.181607 ms)
2652:		473	(0.17249 ms)
2653:		460	(0.16775 ms)
2654:		442	(0.161185 ms)
2655:		431	(0.157174 ms)
2656:		436	(0.158997 ms)
2657:		432	(0.157539 ms)
2658:		479	(0.174678 ms)
2659:		434	(0.158268 ms)
2660:		474	(0.172855 ms)
2661:		441	(0.160821 ms)
2662:		446	(0.162644 ms)
2663:		411	(0.149881 ms)
2664:		419	(0.152798 ms)
2665:		2218	(0.808844 ms)
2666:		519	(0.189265 ms)
2667:		343	(0.125083 ms)
2668:		354	(0.129094 ms)
2669:		337	(0.122895 ms)
2670:		329	(0.119977 ms)
2671:		331	(0.120707 ms)
2672:		336	(0.12253 ms)
2673:		328	(0.119613 ms)
2674:		315	(0.114872 ms)
2675:		319	(0.116331 ms)
2676:		321	(0.11706 ms)
2677:		312	(0.113778 ms)
2678:		311	(0.113413 ms)
2679:		322	(0.117425 ms)
2680:		328	(0.119613 ms)
2681:		308	(0.112319 ms)
2682:		332	(0.121071 ms)
2683:		444	(0.161915 ms)
2684:		500	(0.182336 ms)
2685:		401	(0.146234 ms)
2686:		337	(0.122895 ms)
2687:		337	(0.122895 ms)
2688:		439	(0.160091 ms)
2689:		329	(0.119977 ms)
2690:		322	(0.117425 ms)
2691:		415	(0.151339 ms)
2692:		369	(0.134564 ms)
2693:		320	(0.116695 ms)
2694:		313	(0.114143 ms)
2695:		426	(0.155351 ms)
2696:		320	(0.116695 ms)
2697:		318	(0.115966 ms)
2698:		316	(0.115237 ms)
2699:		425	(0.154986 ms)
2700:		322	(0.117425 ms)
2701:		317	(0.115601 ms)
2702:		318	(0.115966 ms)
2703:		413	(0.15061 ms)
2704:		360	(0.131282 ms)
2705:		314	(0.114507 ms)
2706:		317	(0.115601 ms)
2707:		421	(0.153527 ms)
2708:		306	(0.11159 ms)
2709:		306	(0.11159 ms)
2710:		320	(0.116695 ms)
2711:		420	(0.153163 ms)
2712:		309	(0.112684 ms)
2713:		318	(0.115966 ms)
2714:		307	(0.111955 ms)
2715:		410	(0.149516 ms)
2716:		320	(0.116695 ms)
2717:		317	(0.115601 ms)
2718:		316	(0.115237 ms)
2719:		425	(0.154986 ms)
2720:		359	(0.130918 ms)
2721:		315	(0.114872 ms)
2722:		318	(0.115966 ms)
2723:		411	(0.149881 ms)
2724:		303	(0.110496 ms)
2725:		312	(0.113778 ms)
2726:		318	(0.115966 ms)
2727:		364	(0.132741 ms)
2728:		356	(0.129824 ms)
2729:		318	(0.115966 ms)
2730:		317	(0.115601 ms)
2731:		361	(0.131647 ms)
2732:		365	(0.133106 ms)
2733:		317	(0.115601 ms)
2734:		313	(0.114143 ms)
2735:		376	(0.137117 ms)
2736:		359	(0.130918 ms)
2737:		307	(0.111955 ms)
2738:		312	(0.113778 ms)
2739:		373	(0.136023 ms)
2740:		446	(0.162644 ms)
2741:		339	(0.123624 ms)
2742:		326	(0.118883 ms)
2743:		336	(0.12253 ms)
2744:		334	(0.121801 ms)
2745:		336	(0.12253 ms)
2746:		331	(0.120707 ms)
2747:		336	(0.12253 ms)
2748:		339	(0.123624 ms)
2749:		335	(0.122165 ms)
2750:		322	(0.117425 ms)
2751:		336	(0.12253 ms)
2752:		335	(0.122165 ms)
2753:		363	(0.132376 ms)
2754:		437	(0.159362 ms)
2755:		527	(0.192183 ms)
2756:		485	(0.176866 ms)
2757:		409	(0.149151 ms)
2758:		406	(0.148057 ms)
2759:		457	(0.166655 ms)
2760:		482	(0.175772 ms)
2761:		363	(0.132376 ms)
2762:		343	(0.125083 ms)
2763:		350	(0.127635 ms)
2764:		343	(0.125083 ms)
2765:		359	(0.130918 ms)
2766:		338	(0.123259 ms)
2767:		338	(0.123259 ms)
2768:		339	(0.123624 ms)
2769:		347	(0.126541 ms)
2770:		334	(0.121801 ms)
2771:		340	(0.123989 ms)
2772:		339	(0.123624 ms)
2773:		357	(0.130188 ms)
2774:		457	(0.166655 ms)
2775:		615	(0.224274 ms)
2776:		527	(0.192183 ms)
2777:		484	(0.176502 ms)
2778:		364	(0.132741 ms)
2779:		409	(0.149151 ms)
2780:		440	(0.160456 ms)
2781:		417	(0.152069 ms)
2782:		378	(0.137846 ms)
2783:		369	(0.134564 ms)
2784:		375	(0.136752 ms)
2785:		642	(0.23412 ms)
2786:		352	(0.128365 ms)
2787:		357	(0.130188 ms)
2788:		401	(0.146234 ms)
2789:		433	(0.157903 ms)
2790:		412	(0.150245 ms)
2791:		630	(0.229744 ms)
2792:		444	(0.161915 ms)
2793:		345	(0.125812 ms)
2794:		331	(0.120707 ms)
2795:		345	(0.125812 ms)
2796:		328	(0.119613 ms)
2797:		341	(0.124353 ms)
2798:		341	(0.124353 ms)
2799:		347	(0.126541 ms)
2800:		329	(0.119977 ms)
2801:		338	(0.123259 ms)
2802:		336	(0.12253 ms)
2803:		348	(0.126906 ms)
2804:		337	(0.122895 ms)
2805:		342	(0.124718 ms)
2806:		334	(0.121801 ms)
2807:		339	(0.123624 ms)
2808:		339	(0.123624 ms)
2809:		335	(0.122165 ms)
2810:		336	(0.12253 ms)
2811:		344	(0.125447 ms)
2812:		340	(0.123989 ms)
2813:		332	(0.121071 ms)
2814:		336	(0.12253 ms)
2815:		340	(0.123989 ms)
2816:		328	(0.119613 ms)
2817:		336	(0.12253 ms)
2818:		322	(0.117425 ms)
2819:		336	(0.12253 ms)
2820:		347	(0.126541 ms)
2821:		336	(0.12253 ms)
2822:		338	(0.123259 ms)
2823:		333	(0.121436 ms)
2824:		332	(0.121071 ms)
2825:		324	(0.118154 ms)
2826:		336	(0.12253 ms)
2827:		338	(0.123259 ms)
2828:		346	(0.126177 ms)
2829:		339	(0.123624 ms)
2830:		324	(0.118154 ms)
2831:		330	(0.120342 ms)
2832:		340	(0.123989 ms)
2833:		348	(0.126906 ms)
2834:		407	(0.148422 ms)
2835:		382	(0.139305 ms)
2836:		350	(0.127635 ms)
2837:		327	(0.119248 ms)
2838:		324	(0.118154 ms)
2839:		337	(0.122895 ms)
2840:		336	(0.12253 ms)
2841:		335	(0.122165 ms)
2842:		338	(0.123259 ms)
2843:		335	(0.122165 ms)
2844:		340	(0.123989 ms)
2845:		336	(0.12253 ms)
2846:		331	(0.120707 ms)
2847:		332	(0.121071 ms)
2848:		339	(0.123624 ms)
2849:		337	(0.122895 ms)
2850:		335	(0.122165 ms)
2851:		336	(0.12253 ms)
2852:		329	(0.119977 ms)
2853:		331	(0.120707 ms)
2854:		333	(0.121436 ms)
2855:		338	(0.123259 ms)
2856:		340	(0.123989 ms)
2857:		328	(0.119613 ms)
2858:		324	(0.118154 ms)
2859:		327	(0.119248 ms)
2860:		344	(0.125447 ms)
2861:		328	(0.119613 ms)
2862:		335	(0.122165 ms)
2863:		339	(0.123624 ms)
2864:		343	(0.125083 ms)
2865:		335	(0.122165 ms)
2866:		338	(0.123259 ms)
2867:		330	(0.120342 ms)
2868:		337	(0.122895 ms)
2869:		341	(0.124353 ms)
2870:		332	(0.121071 ms)
2871:		338	(0.123259 ms)
2872:		335	(0.122165 ms)
2873:		347	(0.126541 ms)
2874:		330	(0.120342 ms)
2875:		338	(0.123259 ms)
2876:		335	(0.122165 ms)
2877:		346	(0.126177 ms)
2878:		334	(0.121801 ms)
2879:		323	(0.117789 ms)
2880:		336	(0.12253 ms)
2881:		343	(0.125083 ms)
2882:		338	(0.123259 ms)
2883:		338	(0.123259 ms)
2884:		328	(0.119613 ms)
2885:		340	(0.123989 ms)
2886:		333	(0.121436 ms)
2887:		335	(0.122165 ms)
2888:		328	(0.119613 ms)
2889:		332	(0.121071 ms)
2890:		323	(0.117789 ms)
2891:		333	(0.121436 ms)
2892:		323	(0.117789 ms)
2893:		347	(0.126541 ms)
2894:		331	(0.120707 ms)
2895:		337	(0.122895 ms)
2896:		327	(0.119248 ms)
2897:		344	(0.125447 ms)
2898:		329	(0.119977 ms)
2899:		325	(0.118519 ms)
2900:		338	(0.123259 ms)
2901:		343	(0.125083 ms)
2902:		323	(0.117789 ms)
2903:		333	(0.121436 ms)
2904:		336	(0.12253 ms)
2905:		331	(0.120707 ms)
2906:		335	(0.122165 ms)
2907:		330	(0.120342 ms)
2908:		338	(0.123259 ms)
2909:		335	(0.122165 ms)
2910:		347	(0.126541 ms)
2911:		340	(0.123989 ms)
2912:		332	(0.121071 ms)
2913:		337	(0.122895 ms)
2914:		345	(0.125812 ms)
2915:		394	(0.143681 ms)
2916:		413	(0.15061 ms)
2917:		391	(0.142587 ms)
2918:		360	(0.131282 ms)
2919:		353	(0.12873 ms)
2920:		342	(0.124718 ms)
2921:		348	(0.126906 ms)
2922:		350	(0.127635 ms)
2923:		334	(0.121801 ms)
2924:		349	(0.127271 ms)
2925:		381	(0.13894 ms)
2926:		347	(0.126541 ms)
2927:		329	(0.119977 ms)
2928:		342	(0.124718 ms)
2929:		357	(0.130188 ms)
2930:		344	(0.125447 ms)
2931:		341	(0.124353 ms)
2932:		338	(0.123259 ms)
2933:		396	(0.14441 ms)
2934:		335	(0.122165 ms)
2935:		332	(0.121071 ms)
2936:		331	(0.120707 ms)
2937:		340	(0.123989 ms)
2938:		340	(0.123989 ms)
2939:		324	(0.118154 ms)
2940:		333	(0.121436 ms)
2941:		340	(0.123989 ms)
2942:		323	(0.117789 ms)
2943:		333	(0.121436 ms)
2944:		337	(0.122895 ms)
2945:		341	(0.124353 ms)
2946:		329	(0.119977 ms)
2947:		335	(0.122165 ms)
2948:		328	(0.119613 ms)
2949:		326	(0.118883 ms)
2950:		321	(0.11706 ms)
2951:		332	(0.121071 ms)
2952:		338	(0.123259 ms)
2953:		340	(0.123989 ms)
2954:		335	(0.122165 ms)
2955:		338	(0.123259 ms)
2956:		328	(0.119613 ms)
2957:		337	(0.122895 ms)
2958:		330	(0.120342 ms)
2959:		322	(0.117425 ms)
2960:		334	(0.121801 ms)
2961:		330	(0.120342 ms)
2962:		336	(0.12253 ms)
2963:		338	(0.123259 ms)
2964:		333	(0.121436 ms)
2965:		323	(0.117789 ms)
2966:		345	(0.125812 ms)
2967:		334	(0.121801 ms)
2968:		334	(0.121801 ms)
2969:		332	(0.121071 ms)
2970:		332	(0.121071 ms)
2971:		325	(0.118519 ms)
2972:		338	(0.123259 ms)
2973:		335	(0.122165 ms)
2974:		357	(0.130188 ms)
2975:		335	(0.122165 ms)
2976:		333	(0.121436 ms)
2977:		334	(0.121801 ms)
2978:		341	(0.124353 ms)
2979:		332	(0.121071 ms)
2980:		332	(0.121071 ms)
2981:		335	(0.122165 ms)
2982:		338	(0.123259 ms)
2983:		331	(0.120707 ms)
2984:		336	(0.12253 ms)
2985:		331	(0.120707 ms)
2986:		337	(0.122895 ms)
2987:		335	(0.122165 ms)
2988:		332	(0.121071 ms)
2989:		330	(0.120342 ms)
2990:		337	(0.122895 ms)
2991:		331	(0.120707 ms)
2992:		335	(0.122165 ms)
2993:		334	(0.121801 ms)
2994:		322	(0.117425 ms)
2995:		337	(0.122895 ms)
2996:		461	(0.168114 ms)
2997:		405	(0.147692 ms)
2998:		539	(0.196559 ms)
2999:		438	(0.159727 ms)
3000:		362	(0.132012 ms)
3001:		460	(0.16775 ms)
3002:		362	(0.132012 ms)
3003:		303	(0.110496 ms)
3004:		312	(0.113778 ms)
3005:		511	(0.186348 ms)
3006:		307	(0.111955 ms)
3007:		304	(0.110861 ms)
3008:		305	(0.111225 ms)
3009:		435	(0.158633 ms)
3010:		304	(0.110861 ms)
3011:		310	(0.113049 ms)
3012:		306	(0.11159 ms)
3013:		410	(0.149516 ms)
3014:		318	(0.115966 ms)
3015:		318	(0.115966 ms)
3016:		315	(0.114872 ms)
3017:		421	(0.153527 ms)
3018:		372	(0.135658 ms)
3019:		309	(0.112684 ms)
3020:		318	(0.115966 ms)
3021:		475	(0.17322 ms)
3022:		315	(0.114872 ms)
3023:		315	(0.114872 ms)
3024:		304	(0.110861 ms)
3025:		413	(0.15061 ms)
3026:		302	(0.110131 ms)
3027:		314	(0.114507 ms)
3028:		320	(0.116695 ms)
3029:		410	(0.149516 ms)
3030:		313	(0.114143 ms)
3031:		306	(0.11159 ms)
3032:		309	(0.112684 ms)
3033:		415	(0.151339 ms)
3034:		314	(0.114507 ms)
3035:		310	(0.113049 ms)
3036:		305	(0.111225 ms)
3037:		423	(0.154257 ms)
3038:		316	(0.115237 ms)
3039:		305	(0.111225 ms)
3040:		316	(0.115237 ms)
3041:		422	(0.153892 ms)
3042:		362	(0.132012 ms)
3043:		306	(0.11159 ms)
3044:		310	(0.113049 ms)
3045:		411	(0.149881 ms)
3046:		314	(0.114507 ms)
3047:		306	(0.11159 ms)
3048:		310	(0.113049 ms)
3049:		417	(0.152069 ms)
3050:		318	(0.115966 ms)
3051:		303	(0.110496 ms)
3052:		315	(0.114872 ms)
3053:		408	(0.148787 ms)
3054:		304	(0.110861 ms)
3055:		318	(0.115966 ms)
3056:		483	(0.176137 ms)
3057:		368	(0.1342 ms)
3058:		318	(0.115966 ms)
3059:		308	(0.112319 ms)
3060:		306	(0.11159 ms)
3061:		422	(0.153892 ms)
3062:		312	(0.113778 ms)
3063:		308	(0.112319 ms)
3064:		317	(0.115601 ms)
3065:		414	(0.150975 ms)
3066:		312	(0.113778 ms)
3067:		305	(0.111225 ms)
3068:		303	(0.110496 ms)
3069:		419	(0.152798 ms)
3070:		315	(0.114872 ms)
3071:		304	(0.110861 ms)
3072:		308	(0.112319 ms)
3073:		418	(0.152433 ms)
3074:		430	(0.156809 ms)
3075:		463	(0.168844 ms)
3076:		410	(0.149516 ms)
3077:		440	(0.160456 ms)
3078:		325	(0.118519 ms)
3079:		326	(0.118883 ms)
3080:		338	(0.123259 ms)
3081:		321	(0.11706 ms)
3082:		318	(0.115966 ms)
3083:		325	(0.118519 ms)
3084:		319	(0.116331 ms)
3085:		325	(0.118519 ms)
3086:		317	(0.115601 ms)
3087:		324	(0.118154 ms)
3088:		310	(0.113049 ms)
3089:		316	(0.115237 ms)
3090:		308	(0.112319 ms)
3091:		309	(0.112684 ms)
3092:		307	(0.111955 ms)
3093:		429	(0.156445 ms)
3094:		319	(0.116331 ms)
3095:		310	(0.113049 ms)
3096:		316	(0.115237 ms)
3097:		318	(0.115966 ms)
3098:		317	(0.115601 ms)
3099:		319	(0.116331 ms)
3100:		310	(0.113049 ms)
3101:		313	(0.114143 ms)
3102:		308	(0.112319 ms)
3103:		320	(0.116695 ms)
3104:		317	(0.115601 ms)
3105:		316	(0.115237 ms)
3106:		321	(0.11706 ms)
3107:		307	(0.111955 ms)
3108:		312	(0.113778 ms)
3109:		314	(0.114507 ms)
3110:		431	(0.157174 ms)
3111:		369	(0.134564 ms)
3112:		305	(0.111225 ms)
3113:		317	(0.115601 ms)
3114:		321	(0.11706 ms)
3115:		309	(0.112684 ms)
3116:		308	(0.112319 ms)
3117:		316	(0.115237 ms)
3118:		417	(0.152069 ms)
3119:		356	(0.129824 ms)
3120:		318	(0.115966 ms)
3121:		317	(0.115601 ms)
3122:		308	(0.112319 ms)
3123:		303	(0.110496 ms)
3124:		311	(0.113413 ms)
3125:		315	(0.114872 ms)
3126:		319	(0.116331 ms)
3127:		430	(0.156809 ms)
3128:		319	(0.116331 ms)
3129:		431	(0.157174 ms)
3130:		376	(0.137117 ms)
3131:		316	(0.115237 ms)
3132:		317	(0.115601 ms)
3133:		303	(0.110496 ms)
3134:		310	(0.113049 ms)
3135:		431	(0.157174 ms)
3136:		306	(0.11159 ms)
3137:		304	(0.110861 ms)
3138:		308	(0.112319 ms)
3139:		305	(0.111225 ms)
3140:		305	(0.111225 ms)
3141:		303	(0.110496 ms)
3142:		318	(0.115966 ms)
3143:		312	(0.113778 ms)
3144:		305	(0.111225 ms)
3145:		313	(0.114143 ms)
3146:		420	(0.153163 ms)
3147:		556	(0.202758 ms)
3148:		410	(0.149516 ms)
3149:		311	(0.113413 ms)
3150:		373	(0.136023 ms)
3151:		368	(0.1342 ms)
3152:		316	(0.115237 ms)
3153:		308	(0.112319 ms)
3154:		307	(0.111955 ms)
3155:		471	(0.171761 ms)
3156:		443	(0.16155 ms)
3157:		425	(0.154986 ms)
3158:		394	(0.143681 ms)
3159:		338	(0.123259 ms)
3160:		335	(0.122165 ms)
3161:		320	(0.116695 ms)
3162:		442	(0.161185 ms)
3163:		329	(0.119977 ms)
3164:		328	(0.119613 ms)
3165:		378	(0.137846 ms)
3166:		373	(0.136023 ms)
3167:		312	(0.113778 ms)
3168:		321	(0.11706 ms)
3169:		372	(0.135658 ms)
3170:		366	(0.13347 ms)
3171:		320	(0.116695 ms)
3172:		307	(0.111955 ms)
3173:		375	(0.136752 ms)
3174:		361	(0.131647 ms)
3175:		306	(0.11159 ms)
3176:		317	(0.115601 ms)
3177:		311	(0.113413 ms)
3178:		416	(0.151704 ms)
3179:		309	(0.112684 ms)
3180:		309	(0.112684 ms)
3181:		317	(0.115601 ms)
3182:		427	(0.155715 ms)
3183:		310	(0.113049 ms)
3184:		305	(0.111225 ms)
3185:		315	(0.114872 ms)
3186:		438	(0.159727 ms)
3187:		488	(0.17796 ms)
3188:		496	(0.180878 ms)
3189:		355	(0.129459 ms)
3190:		352	(0.128365 ms)
3191:		375	(0.136752 ms)
3192:		389	(0.141858 ms)
3193:		452	(0.164832 ms)
3194:		342	(0.124718 ms)
3195:		341	(0.124353 ms)
3196:		488	(0.17796 ms)
3197:		393	(0.143316 ms)
3198:		344	(0.125447 ms)
3199:		339	(0.123624 ms)
3200:		388	(0.141493 ms)
3201:		362	(0.132012 ms)
3202:		460	(0.16775 ms)
3203:		511	(0.186348 ms)
3204:		426	(0.155351 ms)
3205:		523	(0.190724 ms)
3206:		786	(0.286633 ms)
3207:		391	(0.142587 ms)
3208:		416	(0.151704 ms)
3209:		319	(0.116331 ms)
3210:		320	(0.116695 ms)
3211:		316	(0.115237 ms)
3212:		459	(0.167385 ms)
3213:		318	(0.115966 ms)
3214:		309	(0.112684 ms)
3215:		308	(0.112319 ms)
3216:		426	(0.155351 ms)
3217:		304	(0.110861 ms)
3218:		317	(0.115601 ms)
3219:		317	(0.115601 ms)
3220:		423	(0.154257 ms)
3221:		319	(0.116331 ms)
3222:		303	(0.110496 ms)
3223:		317	(0.115601 ms)
3224:		415	(0.151339 ms)
3225:		317	(0.115601 ms)
3226:		315	(0.114872 ms)
3227:		316	(0.115237 ms)
3228:		409	(0.149151 ms)
3229:		446	(0.162644 ms)
3230:		498	(0.181607 ms)
3231:		355	(0.129459 ms)
3232:		344	(0.125447 ms)
3233:		337	(0.122895 ms)
3234:		329	(0.119977 ms)
3235:		372	(0.135658 ms)
3236:		334	(0.121801 ms)
3237:		329	(0.119977 ms)
3238:		311	(0.113413 ms)
3239:		314	(0.114507 ms)
3240:		320	(0.116695 ms)
3241:		321	(0.11706 ms)
3242:		315	(0.114872 ms)
3243:		306	(0.11159 ms)
3244:		318	(0.115966 ms)
3245:		321	(0.11706 ms)
3246:		317	(0.115601 ms)
3247:		305	(0.111225 ms)
3248:		323	(0.117789 ms)
3249:		320	(0.116695 ms)
3250:		316	(0.115237 ms)
3251:		316	(0.115237 ms)
3252:		377	(0.137482 ms)
3253:		415	(0.151339 ms)
3254:		305	(0.111225 ms)
3255:		305	(0.111225 ms)
3256:		381	(0.13894 ms)
3257:		402	(0.146598 ms)
3258:		313	(0.114143 ms)
3259:		309	(0.112684 ms)
3260:		323	(0.117789 ms)
3261:		306	(0.11159 ms)
3262:		318	(0.115966 ms)
3263:		311	(0.113413 ms)
3264:		308	(0.112319 ms)
3265:		430	(0.156809 ms)
3266:		380	(0.138576 ms)
3267:		314	(0.114507 ms)
3268:		309	(0.112684 ms)
3269:		315	(0.114872 ms)
3270:		315	(0.114872 ms)
3271:		304	(0.110861 ms)
3272:		320	(0.116695 ms)
3273:		318	(0.115966 ms)
3274:		317	(0.115601 ms)
3275:		304	(0.110861 ms)
3276:		310	(0.113049 ms)
3277:		320	(0.116695 ms)
3278:		320	(0.116695 ms)
3279:		304	(0.110861 ms)
3280:		306	(0.11159 ms)
3281:		314	(0.114507 ms)
3282:		322	(0.117425 ms)
3283:		317	(0.115601 ms)
3284:		319	(0.116331 ms)
3285:		305	(0.111225 ms)
3286:		313	(0.114143 ms)
3287:		313	(0.114143 ms)
3288:		319	(0.116331 ms)
3289:		317	(0.115601 ms)
3290:		385	(0.140399 ms)
3291:		376	(0.137117 ms)
3292:		359	(0.130918 ms)
3293:		316	(0.115237 ms)
3294:		307	(0.111955 ms)
3295:		307	(0.111955 ms)
3296:		312	(0.113778 ms)
3297:		317	(0.115601 ms)
3298:		304	(0.110861 ms)
3299:		317	(0.115601 ms)
3300:		306	(0.11159 ms)
3301:		305	(0.111225 ms)
3302:		315	(0.114872 ms)
3303:		316	(0.115237 ms)
3304:		304	(0.110861 ms)
3305:		318	(0.115966 ms)
3306:		304	(0.110861 ms)
3307:		309	(0.112684 ms)
3308:		304	(0.110861 ms)
3309:		316	(0.115237 ms)
3310:		318	(0.115966 ms)
3311:		316	(0.115237 ms)
3312:		480	(0.175043 ms)
3313:		447	(0.163009 ms)
3314:		418	(0.152433 ms)
3315:		391	(0.142587 ms)
3316:		335	(0.122165 ms)
3317:		321	(0.11706 ms)
3318:		330	(0.120342 ms)
3319:		422	(0.153892 ms)
3320:		435	(0.158633 ms)
3321:		353	(0.12873 ms)
3322:		401	(0.146234 ms)
3323:		363	(0.132376 ms)
3324:		322	(0.117425 ms)
3325:		310	(0.113049 ms)
3326:		429	(0.156445 ms)
3327:		373	(0.136023 ms)
3328:		321	(0.11706 ms)
3329:		319	(0.116331 ms)
3330:		423	(0.154257 ms)
3331:		369	(0.134564 ms)
3332:		320	(0.116695 ms)
3333:		311	(0.113413 ms)
3334:		423	(0.154257 ms)
3335:		312	(0.113778 ms)
3336:		320	(0.116695 ms)
3337:		319	(0.116331 ms)
3338:		426	(0.155351 ms)
3339:		308	(0.112319 ms)
3340:		318	(0.115966 ms)
3341:		323	(0.117789 ms)
3342:		420	(0.153163 ms)
3343:		306	(0.11159 ms)
3344:		320	(0.116695 ms)
3345:		319	(0.116331 ms)
3346:		418	(0.152433 ms)
3347:		323	(0.117789 ms)
3348:		317	(0.115601 ms)
3349:		316	(0.115237 ms)
3350:		422	(0.153892 ms)
3351:		313	(0.114143 ms)
3352:		308	(0.112319 ms)
3353:		322	(0.117425 ms)
3354:		421	(0.153527 ms)
3355:		306	(0.11159 ms)
3356:		320	(0.116695 ms)
3357:		317	(0.115601 ms)
3358:		421	(0.153527 ms)
3359:		318	(0.115966 ms)
3360:		321	(0.11706 ms)
3361:		317	(0.115601 ms)
3362:		426	(0.155351 ms)
3363:		309	(0.112684 ms)
3364:		321	(0.11706 ms)
3365:		315	(0.114872 ms)
3366:		414	(0.150975 ms)
3367:		310	(0.113049 ms)
3368:		306	(0.11159 ms)
3369:		304	(0.110861 ms)
3370:		419	(0.152798 ms)
3371:		319	(0.116331 ms)
3372:		310	(0.113049 ms)
3373:		318	(0.115966 ms)
3374:		460	(0.16775 ms)
3375:		319	(0.116331 ms)
3376:		315	(0.114872 ms)
3377:		316	(0.115237 ms)
3378:		409	(0.149151 ms)
3379:		312	(0.113778 ms)
3380:		317	(0.115601 ms)
3381:		312	(0.113778 ms)
3382:		417	(0.152069 ms)
3383:		305	(0.111225 ms)
3384:		317	(0.115601 ms)
3385:		311	(0.113413 ms)
3386:		423	(0.154257 ms)
3387:		319	(0.116331 ms)
3388:		312	(0.113778 ms)
3389:		304	(0.110861 ms)
3390:		420	(0.153163 ms)
3391:		415	(0.151339 ms)
3392:		404	(0.147328 ms)
3393:		337	(0.122895 ms)
3394:		344	(0.125447 ms)
3395:		333	(0.121436 ms)
3396:		332	(0.121071 ms)
3397:		329	(0.119977 ms)
3398:		334	(0.121801 ms)
3399:		322	(0.117425 ms)
3400:		314	(0.114507 ms)
3401:		324	(0.118154 ms)
3402:		328	(0.119613 ms)
3403:		322	(0.117425 ms)
3404:		325	(0.118519 ms)
3405:		321	(0.11706 ms)
3406:		379	(0.138211 ms)
3407:		356	(0.129824 ms)
3408:		312	(0.113778 ms)
3409:		322	(0.117425 ms)
3410:		326	(0.118883 ms)
3411:		321	(0.11706 ms)
3412:		315	(0.114872 ms)
3413:		315	(0.114872 ms)
3414:		315	(0.114872 ms)
3415:		320	(0.116695 ms)
3416:		317	(0.115601 ms)
3417:		320	(0.116695 ms)
3418:		319	(0.116331 ms)
3419:		320	(0.116695 ms)
3420:		321	(0.11706 ms)
3421:		310	(0.113049 ms)
3422:		305	(0.111225 ms)
3423:		378	(0.137846 ms)
3424:		366	(0.13347 ms)
3425:		319	(0.116331 ms)
3426:		306	(0.11159 ms)
