
Minimum time:  301	(0.109767 ms)

Test #		Time
212:		345	(0.125812 ms)
213:		360	(0.131282 ms)
214:		471	(0.171761 ms)
215:		409	(0.149151 ms)
216:		482	(0.175772 ms)
217:		320	(0.116695 ms)
218:		312	(0.113778 ms)
219:		486	(0.177231 ms)
220:		573	(0.208958 ms)
221:		317	(0.115601 ms)
222:		306	(0.11159 ms)
223:		308	(0.112319 ms)
224:		421	(0.153527 ms)
225:		305	(0.111225 ms)
226:		304	(0.110861 ms)
227:		311	(0.113413 ms)
228:		423	(0.154257 ms)
229:		368	(0.1342 ms)
230:		303	(0.110496 ms)
231:		303	(0.110496 ms)
232:		422	(0.153892 ms)
233:		316	(0.115237 ms)
234:		310	(0.113049 ms)
235:		305	(0.111225 ms)
236:		418	(0.152433 ms)
237:		307	(0.111955 ms)
238:		310	(0.113049 ms)
239:		318	(0.115966 ms)
240:		422	(0.153892 ms)
241:		314	(0.114507 ms)
242:		311	(0.113413 ms)
243:		301	(0.109767 ms)
244:		470	(0.171396 ms)
245:		316	(0.115237 ms)
246:		314	(0.114507 ms)
247:		312	(0.113778 ms)
248:		458	(0.16702 ms)
249:		303	(0.110496 ms)
250:		314	(0.114507 ms)
251:		312	(0.113778 ms)
252:		422	(0.153892 ms)
253:		309	(0.112684 ms)
254:		315	(0.114872 ms)
255:		318	(0.115966 ms)
256:		424	(0.154621 ms)
257:		306	(0.11159 ms)
258:		310	(0.113049 ms)
259:		316	(0.115237 ms)
260:		422	(0.153892 ms)
261:		311	(0.113413 ms)
262:		317	(0.115601 ms)
263:		307	(0.111955 ms)
264:		466	(0.169938 ms)
265:		311	(0.113413 ms)
266:		307	(0.111955 ms)
267:		313	(0.114143 ms)
268:		429	(0.156445 ms)
269:		362	(0.132012 ms)
270:		303	(0.110496 ms)
271:		317	(0.115601 ms)
272:		418	(0.152433 ms)
273:		310	(0.113049 ms)
274:		305	(0.111225 ms)
275:		318	(0.115966 ms)
276:		428	(0.15608 ms)
277:		365	(0.133106 ms)
278:		319	(0.116331 ms)
279:		303	(0.110496 ms)
280:		417	(0.152069 ms)
281:		315	(0.114872 ms)
282:		318	(0.115966 ms)
283:		313	(0.114143 ms)
284:		423	(0.154257 ms)
285:		318	(0.115966 ms)
286:		306	(0.11159 ms)
287:		306	(0.11159 ms)
288:		422	(0.153892 ms)
289:		303	(0.110496 ms)
290:		304	(0.110861 ms)
291:		315	(0.114872 ms)
292:		470	(0.171396 ms)
293:		439	(0.160091 ms)
294:		319	(0.116331 ms)
295:		374	(0.136388 ms)
296:		360	(0.131282 ms)
297:		319	(0.116331 ms)
298:		318	(0.115966 ms)
299:		368	(0.1342 ms)
300:		369	(0.134564 ms)
301:		303	(0.110496 ms)
302:		319	(0.116331 ms)
303:		374	(0.136388 ms)
304:		357	(0.130188 ms)
305:		312	(0.113778 ms)
306:		305	(0.111225 ms)
307:		319	(0.116331 ms)
308:		408	(0.148787 ms)
309:		302	(0.110131 ms)
310:		318	(0.115966 ms)
311:		316	(0.115237 ms)
312:		464	(0.169208 ms)
313:		314	(0.114507 ms)
314:		312	(0.113778 ms)
315:		311	(0.113413 ms)
316:		421	(0.153527 ms)
317:		304	(0.110861 ms)
318:		309	(0.112684 ms)
319:		320	(0.116695 ms)
320:		421	(0.153527 ms)
321:		313	(0.114143 ms)
322:		302	(0.110131 ms)
323:		318	(0.115966 ms)
324:		426	(0.155351 ms)
325:		346	(0.126177 ms)
326:		314	(0.114507 ms)
327:		303	(0.110496 ms)
328:		420	(0.153163 ms)
329:		317	(0.115601 ms)
330:		305	(0.111225 ms)
331:		316	(0.115237 ms)
332:		512	(0.186712 ms)
333:		303	(0.110496 ms)
334:		318	(0.115966 ms)
335:		359	(0.130918 ms)
336:		355	(0.129459 ms)
337:		304	(0.110861 ms)
338:		314	(0.114507 ms)
339:		310	(0.113049 ms)
340:		417	(0.152069 ms)
341:		318	(0.115966 ms)
342:		303	(0.110496 ms)
343:		317	(0.115601 ms)
344:		435	(0.158633 ms)
345:		485	(0.176866 ms)
346:		528	(0.192547 ms)
347:		377	(0.137482 ms)
348:		349	(0.127271 ms)
349:		368	(0.1342 ms)
350:		452	(0.164832 ms)
351:		450	(0.164103 ms)
352:		347	(0.126541 ms)
353:		357	(0.130188 ms)
354:		375	(0.136752 ms)
355:		374	(0.136388 ms)
356:		358	(0.130553 ms)
357:		463	(0.168844 ms)
358:		363	(0.132376 ms)
359:		513	(0.187077 ms)
360:		562	(0.204946 ms)
361:		528	(0.192547 ms)
362:		480	(0.175043 ms)
363:		821	(0.299396 ms)
364:		408	(0.148787 ms)
365:		431	(0.157174 ms)
366:		572	(0.208593 ms)
367:		556	(0.202758 ms)
368:		382	(0.139305 ms)
369:		310	(0.113049 ms)
370:		317	(0.115601 ms)
371:		304	(0.110861 ms)
372:		424	(0.154621 ms)
373:		316	(0.115237 ms)
374:		316	(0.115237 ms)
375:		304	(0.110861 ms)
376:		410	(0.149516 ms)
377:		314	(0.114507 ms)
378:		315	(0.114872 ms)
379:		312	(0.113778 ms)
380:		409	(0.149151 ms)
381:		304	(0.110861 ms)
382:		313	(0.114143 ms)
383:		312	(0.113778 ms)
384:		413	(0.15061 ms)
385:		315	(0.114872 ms)
386:		316	(0.115237 ms)
387:		314	(0.114507 ms)
388:		422	(0.153892 ms)
389:		314	(0.114507 ms)
390:		313	(0.114143 ms)
391:		310	(0.113049 ms)
392:		415	(0.151339 ms)
393:		313	(0.114143 ms)
394:		315	(0.114872 ms)
395:		306	(0.11159 ms)
396:		362	(0.132012 ms)
397:		358	(0.130553 ms)
398:		313	(0.114143 ms)
399:		315	(0.114872 ms)
400:		358	(0.130553 ms)
401:		368	(0.1342 ms)
402:		303	(0.110496 ms)
403:		318	(0.115966 ms)
404:		305	(0.111225 ms)
405:		418	(0.152433 ms)
406:		307	(0.111955 ms)
407:		306	(0.11159 ms)
408:		317	(0.115601 ms)
409:		415	(0.151339 ms)
410:		303	(0.110496 ms)
411:		314	(0.114507 ms)
412:		307	(0.111955 ms)
413:		459	(0.167385 ms)
414:		313	(0.114143 ms)
415:		310	(0.113049 ms)
416:		313	(0.114143 ms)
417:		419	(0.152798 ms)
418:		302	(0.110131 ms)
419:		304	(0.110861 ms)
420:		303	(0.110496 ms)
421:		428	(0.15608 ms)
422:		413	(0.15061 ms)
423:		303	(0.110496 ms)
424:		318	(0.115966 ms)
425:		423	(0.154257 ms)
426:		309	(0.112684 ms)
427:		304	(0.110861 ms)
428:		311	(0.113413 ms)
429:		467	(0.170302 ms)
430:		316	(0.115237 ms)
431:		314	(0.114507 ms)
432:		315	(0.114872 ms)
433:		430	(0.156809 ms)
434:		318	(0.115966 ms)
435:		314	(0.114507 ms)
436:		314	(0.114507 ms)
437:		500	(0.182336 ms)
438:		317	(0.115601 ms)
439:		312	(0.113778 ms)
440:		361	(0.131647 ms)
441:		364	(0.132741 ms)
442:		316	(0.115237 ms)
443:		305	(0.111225 ms)
444:		358	(0.130553 ms)
445:		416	(0.151704 ms)
446:		424	(0.154621 ms)
447:		349	(0.127271 ms)
448:		398	(0.14514 ms)
449:		330	(0.120342 ms)
450:		331	(0.120707 ms)
451:		318	(0.115966 ms)
452:		474	(0.172855 ms)
453:		319	(0.116331 ms)
454:		315	(0.114872 ms)
455:		311	(0.113413 ms)
456:		316	(0.115237 ms)
457:		321	(0.11706 ms)
458:		321	(0.11706 ms)
459:		311	(0.113413 ms)
460:		323	(0.117789 ms)
461:		320	(0.116695 ms)
462:		309	(0.112684 ms)
463:		317	(0.115601 ms)
464:		381	(0.13894 ms)
465:		357	(0.130188 ms)
466:		320	(0.116695 ms)
467:		314	(0.114507 ms)
468:		382	(0.139305 ms)
469:		386	(0.140764 ms)
470:		338	(0.123259 ms)
471:		338	(0.123259 ms)
472:		352	(0.128365 ms)
473:		339	(0.123624 ms)
474:		382	(0.139305 ms)
475:		320	(0.116695 ms)
476:		398	(0.14514 ms)
477:		426	(0.155351 ms)
